Season,PlayerName,MatchesPlayed,Total points
Season 2,Sinotharan Kanesharajah,2,1
Season 2,Balbir Singh,2,1
Season 2,Gurpreet Singh,2,1
Season 2,Simon Kibura,3,1
Season 2,Chandran Ranjit,1,1
Season 2,Inderpal Bishnoi,2,1
Season 2,Amit Kumar,1,1
Season 2,Kazuhiro Takano,2,1
Season 2,Mohammad Maghshoudulu,4,1
Season 2,Adinath Sakharam Gavali,1,1
Season 2,Jishnu,3,1
Season 1,Anup Kumar,16,169
Season 1,Rahul Chaudhari,14,161
Season 1,Maninder Singh,16,137
Season 1,Ajay Thakur,15,127
Season 1,Kashiling Adake,14,122
Season 1,Manjeet Chhillar,16,122
Season 1,Surjeet Narwal,14,120
Season 1,Sandeep Narwal,16,119
Season 1,Jasvir Singh,15,113
Season 1,Wazir Singh,12,111
Season 1,Ravi Dalal,16,111
Season 1,Nitin Madane,12,107
Season 1,Rakesh Kumar,12,99
Season 1,Rajesh Narwal,16,98
Season 1,Deepak Niwas Hooda,14,89
Season 1,Sukesh Hegde,14,83
Season 1,Rishank Devadiga,16,77
Season 1,Shabeer Bappu,10,67
Season 1,Surender Nada,15,61
Season 1,Mahesh Goud,13,59
Season 1,Jang Kun Lee,11,57
Season 1,Jitesh Joshi,14,53
Season 1,Dharmaraj Cheralathan,16,52
Season 1,Sunil Jaipal,13,50
Season 1,Shrikant Tewthia,14,50
Season 1,Jasmer Singh Gulia,14,45
Season 1,Rajesh Mondal,15,44
Season 1,Pawan Kumar Kadian,10,44
Season 1,Manoj Kumar,14,42
Season 1,Rohit Rana,15,38
Season 1,Mohit Chhillar,16,36
Season 1,Parmod Narwal,16,36
Season 1,Ran Singh,10,36
Season 1,Nilesh Shinde,14,35
Season 1,Prashant Chavan,15,33
Season 1,Kalimuthu Balamahendran,14,32
Season 1,Mahipal Narwal,5,31
Season 1,Amit Singh Chhillar,14,30
Season 1,Ravinder Pahal,9,29
Season 1,D. Suresh Kumar,12,28
Season 1,Mangesh Bhagat,8,28
Season 1,Shyam Kumar Sah,13,28
Season 1,Sachin Khambe,14,27
Season 1,Wasim Sajjad,15,27
Season 1,Gurpreet Singh,16,27
Season 1,D. Gopu,15,27
Season 1,Girish Maruti Ernak,12,25
Season 1,Mahendra Ganesh Rajput,8,21
Season 1,Deepak Kumar Dahiya,7,21
Season 1,Pravin Niwale,7,21
Season 1,Vishal Mane,16,20
Season 1,Sachin Shingade,10,20
Season 1,Vijendar Singh,8,20
Season 1,Rajaguru Subramanian,14,19
Season 1,Ram Kumar Sah,9,18
Season 1,Navneet Gautam,14,17
Season 1,Gangadhari Mallesh,10,16
Season 1,Jeeva Kumar,9,16
Season 1,Waleed Al Hasani,6,14
Season 1,Gurvinder Singh,7,13
Season 1,Nitin More,9,12
Season 1,Preetam Chhillar,11,12
Season 1,Samarjeet Singh,12,12
Season 1,Bajirao Hodage,6,11
Season 1,Sagar Khatale,8,10
Season 1,Balbir Singh,8,9
Season 1,Simon Kibura,4,8
Season 1,Swapnil Dilip Shinde,8,8
Season 1,Suresu Kumar,3,6
Season 1,Ehsan Zamani Fard,8,6
Season 1,Chandran Ranjit,6,6
Season 1,Jeeva Gopal,11,6
Season 1,Wajid Ali,4,5
Season 1,Kuldeep Singh,3,5
Season 1,Dadaso Balaso Awad,5,5
Season 1,Sinotharan Kanesharajah,1,5
Season 1,Seong Ryeol Kim,3,5
Season 1,Punit Kumar Teotia,4,5
Season 1,Mandeep Kumar,7,5
Season 1,Rupesh Tomar,5,5
Season 1,Vikas Tomar,8,5
Season 1,Prashanth Kumar Rai,7,5
Season 1,Rakesh Singh Kumar,9,4
Season 1,Gurchet Singh,4,4
Season 1,Sunil Hanumanthappa,5,4
Season 1,Tae Deok Eom,9,4
Season 1,Dovlet Boshimov,2,4
Season 1,Parveen Kumar,8,3
Season 1,Raju Lal Choudhary,5,2
Season 1,Gokul Shitole,3,2
Season 1,Md. Aruduzzaman Munshi,5,2
Season 1,Farhad Kamal Gharibi,2,2
Season 1,Takamitsu Kono,1,2
Season 1,Dong Ju Hong,2,1
Season 1,Atif Waheed,3,1
Season 1,Sunil Subhash Lande,4,1
