Season,PlayerName,MatchesPlayed,Avg raid points
Season 3,Sandeep Narwal,14,0.64
Season 3,Dharmaraj Cheralathan,14,0.6
Season 3,Deepak Kumar Rathee,14,0.6
Season 3,K. Prapanjan,4,0.5
Season 3,Surender Nada,7,0.5
Season 3,Pravin Niwale,2,0.5
Season 3,Samarjeet Singh,5,0.4
Season 3,Anil Kumar,11,0.33
Season 3,PO Surjeet Singh,12,0.25
Season 3,C. Arun,11,0.25
Season 3,Nilesh Shinde,16,0.18
Season 3,Gangadhari Mallesh,10,0.17
Season 3,Rohit Rana,12,0.17
Season 3,Girish Maruti Ernak,11,0.11
Season 3,Rohit Kumar Prajapat,3,0
Season 2,Kashiling Adake,14,8.14
Season 2,Rahul Chaudhari,14,7
Season 2,Ajay Thakur,13,6.08
Season 2,Wazir Singh,11,5.91
Season 2,Anup Kumar,14,5.29
Season 2,Pravin Niwale,8,5.13
Season 2,Rajesh Narwal,14,4.93
Season 2,Jasvir Singh,13,4.92
Season 2,Sukesh Hegde,13,4.77
Season 2,Sonu Narwal,11,4.64
Season 2,Shabeer Bappu,10,4.6
Season 2,Mahendra Ganesh Rajput,12,4.58
Season 2,Rohit Kumar Choudary,14,4.36
Season 2,Manjeet Chhillar,16,4.19
Season 2,Deepak Niwas Hooda,15,4
Season 2,Ravi Dalal,11,4
Season 2,Ravi V.,2,4
Season 2,Pradeep Kumar,6,4
Season 2,Prashanth Kumar Rai,15,3.6
Season 2,Deepak Narwal,16,3.56
Season 2,Rakesh Kumar,4,3.5
Season 2,Jang Kun Lee,14,3.43
Season 2,Sunil Jaipal,10,3.4
Season 2,Rishank Devadiga,13,3.38
Season 2,Kalimuthu Balamahendran,6,3
Season 2,Mahesh Goud,1,3
Season 2,Yogesh Hooda,4,3
Season 2,Deepak Kumar Dahiya,2,3
Season 2,Rohit Baliyan,5,3
Season 2,Gurvinder Singh,16,2.93
Season 2,Sandeep Narwal,16,2.88
Season 2,Sachin Vittala,4,2.75
Season 2,Jitesh Joshi,5,2.6
Season 2,Surender Singh,2,2.5
Season 2,Tushar Patil,6,2.5
Season 2,Sanjay Kumar,7,2.5
Season 2,Amit Om Prakash Rathi,5,2.4
Season 2,Dinesh Kumar,8,2.38
Season 2,Bhupender Singh,11,2.2
Season 2,Rajesh Mondal,15,2.2
Season 2,Rakesh Narwal,11,2.1
Season 2,Meraj Sheykh,15,2.07
Season 2,Kuldeep Singh,14,2
Season 2,Ashish Chhokar,6,2
Season 2,Tae Deok Eom,8,1.83
Season 2,Mahipal Narwal,9,1.67
Season 2,Isac Antony,7,1.67
Season 2,Pawan Kumar Kadian,10,1.6
Season 2,Selvamani K,10,1.56
Season 2,Pardeep Narwal,6,1.5
Season 2,Ran Singh,14,1.44
Season 2,Sandeep Kandola,16,1.38
Season 2,Dharmaraj Cheralathan,15,1.36
Season 2,Kedar Lal,9,1.33
Season 2,K. Prapanjan,4,1.25
Season 2,Shrikant Tewthia,9,1.25
Season 2,Suresu Kumar,1,1
Season 2,Vineet Sharma,8,1
Season 2,Dadaso Balaso Awad,7,0.83
Season 2,Vijay Malik,7,0.71
Season 2,Amit Kumar Tomar,9,0.67
Season 2,Sandeep Tomar,3,0.67
Season 2,Ashish Kumar,5,0.5
Season 2,Amit Hooda,12,0.45
Season 2,Gangadhari Mallesh,10,0.43
Season 2,Nilesh Shinde,12,0.43
Season 2,Ravinder Pahal,14,0.36
Season 2,Manoj Kumar,14,0.3
Season 2,Preetam Chhillar,12,0.29
Season 2,Surender Nada,14,0.27
Season 2,Parveen M. Jangra,6,0.25
Season 2,Mohammad Maghshoudulu,4,0.25
Season 2,Rakesh Singh Kumar,13,0
Season 2,Ravi Kumar,13,0
Season 2,Prashant Chavan,11,0
Season 2,Sachin Khambe,8,0
Season 2,Chandran Ranjit,1,0
Season 1,Rahul Chaudhari,14,10.79
Season 1,Anup Kumar,16,9.69
Season 1,Wazir Singh,12,8.67
Season 1,Nitin Madane,12,8.42
Season 1,Ajay Thakur,15,8.13
Season 1,Maninder Singh,16,8.13
Season 1,Surjeet Narwal,14,8.07
Season 1,Kashiling Adake,14,8.07
Season 1,Rakesh Kumar,12,7.33
Season 1,Jasvir Singh,15,7.07
Season 1,Ravi Dalal,16,6.94
Season 1,Shabeer Bappu,10,6.6
Season 1,Deepak Niwas Hooda,14,6.21
Season 1,Sandeep Narwal,16,5.75
Season 1,Sukesh Hegde,14,5.64
Season 1,Jang Kun Lee,11,5
Season 1,Mahipal Narwal,5,4.8
Season 1,Rajesh Narwal,16,4.5
Season 1,Manjeet Chhillar,16,4.44
Season 1,Pawan Kumar Kadian,10,4.3
Season 1,Rishank Devadiga,16,4
Season 1,Mahesh Goud,13,3.92
Season 1,Mangesh Bhagat,8,3.38
Season 1,Pravin Niwale,7,3.33
Season 1,Simon Kibura,4,3
Season 1,Shrikant Tewthia,14,2.93
Season 1,Jitesh Joshi,14,2.86
Season 1,Deepak Kumar Dahiya,7,2.71
Season 1,Mahendra Ganesh Rajput,8,2.63
Season 1,Rajesh Mondal,15,2.6
Season 1,Sunil Jaipal,13,2.54
Season 1,Waleed Al Hasani,6,2.33
Season 1,Suresu Kumar,3,2
Season 1,Manoj Kumar,14,1.83
Season 1,Gurvinder Singh,7,1.8
Season 1,Nilesh Shinde,14,1.75
Season 1,Gangadhari Mallesh,10,1.63
Season 1,Ran Singh,10,1.38
Season 1,Surender Nada,15,1.25
Season 1,Shyam Kumar Sah,13,1.25
Season 1,Balbir Singh,8,1.13
Season 1,Dharmaraj Cheralathan,16,1.08
Season 1,Parmod Narwal,16,1.08
Season 1,Kalimuthu Balamahendran,14,1
Season 1,Chandran Ranjit,6,1
Season 1,Sachin Khambe,14,1
Season 1,Mandeep Kumar,7,1
Season 1,Preetam Chhillar,11,0.83
Season 1,Jasmer Singh Gulia,14,0.78
Season 1,Punit Kumar Teotia,4,0.75
Season 1,Ram Kumar Sah,9,0.75
Season 1,Prashanth Kumar Rai,7,0.71
Season 1,Tae Deok Eom,9,0.67
Season 1,Ehsan Zamani Fard,8,0.5
Season 1,D. Gopu,15,0.5
Season 1,Girish Maruti Ernak,12,0.33
Season 1,Gurchet Singh,4,0.25
Season 1,Samarjeet Singh,12,0.2
